id,Название,Год,Рейтинг,Страна,Жанр,Режиссёр
5273,Шрэк 2,2004,7.5,США,мультфильм,Эндрю Адамсон
819101,Омерзительная восьмерка,2015,7.5,США,вестерн,Квентин Тарантино
86326,Счастливое число Слевина,2005,7.5,США,триллер,Пол Макгиган
45822,Вокзал для двоих,1982,7.5,СССР,драма,Эльдар Рязанов
367,Реквием по мечте,2000,7.5,США,драма,Даррен Аронофски
406408,Законопослушный гражданин,2009,7.5,США,боевик,Ф. Гэри Грей
906042,Приключения Паддингтона 2,2017,7.5,Франция,фэнтези,Пол Кинг
4541,Шоу Трумана,1998,7.5,США,драма,Питер Уир
425400,Пожары,2010,7.5,Канада,драма,Дени Вильнёв
81733,Гордость и предубеждение,2005,7.5,Великобритания,драма,Джо Райт
1191022,Подольские курсанты,2020,7.5,Россия,военный,Вадим Шмелев
7226,Догвилль,2003,7.5,Дания,триллер,Ларс фон Триер
1043758,Паразиты,2019,7.5,Корея Южная,драма,Пон Джун-хо
43423,Афоня,1975,7.5,СССР,драма,Георгий Данелия
649917,По соображениям совести,2016,7.5,США,биография,Мэл Гибсон
46368,Не может быть!,1975,7.5,СССР,мелодрама,Леонид Гайдай
606646,12 лет рабства,2013,7.5,Великобритания,драма,Стив МакКуин
407636,Гарри Поттер и Дары Смерти: Часть II,2011,7.4,Великобритания,фэнтези,Дэвид Йейтс
44811,Кин-дза-дза!,1986,7.4,СССР,фантастика,Георгий Данелия
462606,Области тьмы,2011,7.4,США,триллер,Нил Бёргер
723,Планета Ка-Пэкс,2001,7.4,Германия,фантастика,Иэн Софтли
530,Игры разума,2001,7.4,США,биография,Рон Ховард
688,Гарри Поттер и Тайная комната,2002,7.4,Великобритания,фэнтези,Крис Коламбус
681849,Лучшее предложение,2012,7.4,Италия,триллер,Джузеппе Торнаторе
81041,Алеша Попович и Тугарин Змей,2004,7.4,Россия,мультфильм,Константин Бронзит
46638,Мимино,1977,7.4,СССР,драма,Георгий Данелия
1183599,Огонь,2020,7.4,Россия,драма,Алексей Нужный
7605663,Диодорова. Против течения,2024,7.4,Россия,драма,Сандал Баишев
7660,Холодное лето пятьдесят третьего...,1987,7.4,СССР,драма,Александр Прошкин
45314,Жестокий романс,1984,7.4,СССР,драма,Эльдар Рязанов
